index,title,collection,author,solved,push_count,moves
30,Level 15,Aymeric Du Peloux,Unknown,true,30,rdDrrddlULulldRRRdrruLuLLuurDlddlluRdrRlUdrdrruLuLuullDDRdRluUddrdrruLuLrddlUlUlldRRRdrruLuLrdL
31,Level 11,Sasquatch VII,Unknown,true,40,drrruLLulluurrDrDLuuurDDldddrruLdlUUUruulDrdDuulllddRRUdddlUruuruulDllddRddrrruLdlluuluurrrdDuulllddrRUruLddlluuuRldddrruuLulDrrruLdddlddrUdrruLUUUddddlluRdrUlUUruLLrdddrU
32,Handmade 2,Yoshio Murase Handmade,Unknown,true,17,ddLdlluRdrUllluuurrdDuulldddrdrruruuuLulDlldddrRuRlddrUrUdlllluuurrDDuulldddrdrruruLddlluRUrrdLdlluluuurrrrD
33,Handmade 3,Yoshio Murase Handmade,Unknown,true,14,ruruuullddRluurrdDlddllluuRRuurrddrdLuuullddRluurrdDlllluRdrrruullDurrddlLulldddrrrUdllluuurrurrddrdLuuullddRlulldR
34,Handmade 15,Yoshio Murase Handmade,Unknown,true,16,rUdllUdrruLuUrDulluurrDDuLddddrruLdlUUUrDuuulDrddlddrruLuuulD
35,Handmade 16,Yoshio Murase Handmade,Unknown,true,17,lluLruLdrdrruLdlUluullddRdRluluurrrDulllddrdrRlluluurrdrDuulllddrdrUrrrddlUruLLuulllddrdrRurrddlUluLdrrruL
36,Handmade 40,Yoshio Murase Handmade,Unknown,true,16,dlLddlluuRRRurrdLdLUlllddrrUdlluurRdrruuullDRlDurDrruLdllllddrrUdlluurR
37,Cherta #56,Grigr2001,GRIGoRusha,true,20,lldDDDldRRdrUlluuuuurDlddrrruuLulldddddrrUdlluurRlluuurrdLDuulDDDDldRRdrUU
38,Miner #72,Grigr2001,GRIGoRusha,true,28,rDRRddlllluuRRDullddrRRdrruLuuLLddRllluuRlddrrrdrUlllluururDDullddrRRdrruruuLLLrrrddldllullluururDDurrrrddldlluLrdrruLLrrruullDurrddlL
39,Zerkalo #77,Grigr2001,GRIGoRusha,true,20,luuluRRdlddrrururrdLLuLLrrruullDldRullldRurrdRdrUllulldRRRlllddrrUruLdrrruLdlluLulDrrdrruL
40,Radost #97,Grigr2001,GRIGoRusha,true,30,uulldRDrddlUdlluRURlddrruLuuurrdLurrrdLulldDlddrrruULLuurDurrdLdLruulldRulllDRurrddrddllluURRDrdLuuuurrdLDlllUluRddddlluRU
41,Samogonka #99,Grigr2001,GRIGoRusha,true,20,rurrurrdddLLURdrUUUllDurrruLdlldllddRRULrrruulDuruulDDrddLLrruullDurD
42,Level 8,Sasquatch VII,Unknown,true,12,UdldLLulldRurUrRuullDurrdddrrdLuluuurrdLulDulldlluRR
43,Vilka,GrigrSpecial,GRIGoRusha,true,78,dlLLuRUULDrddrruuuLrdddlluulllddRluurrrddrruLruulDllllddrRRllluurruRdlllddrUdrrULuurDlddlluuuRldddrruuLrddlluRurrrrddLLrUdlLURlluuuurrDDDLruuullddRdrUdlddrUllldRuruullDRdrrdrruuuLLLDlddRRuLuurrrddLLrruulDulldRllluRdrrddlllUdrrruulluuurrDulldddrrddlUdlluRuuuurrdDrrdddLruuullDurrdddlLLrrruuulldLrurrdddlllUdrUllldRurrdrruuulluullddlDuruurrddrrdddllullUUddrrdrruuullLDlddRRuLuurrrdddLruuullDllluRdrrurrdLuluullDurrddrdrddlUruulluulldDldR
44,shuffle2,Holland,Unknown,true,29,UURRllUdddrURlluuluurDDuRRDDuulldDuurrddLddlluRUrUdlddrUluUddrUluluurDDDrruuurrdddLruuullddLruurrddLdLrrddlU
45,Level 2,Sasquatch V,Unknown,true,20,ldRRdddrruuuLrdddlldllluurRllddrrrurruuulLdDlllddrrURuLruuLDDrddllluuRRllddrrUrUddllluurRuurrrdddLruuulllulldRR
46,Aislinn,SokHard,Lee J Haywood,true,52,LLuuuuLrddddLLrruuuulLddRDrdrruLLUlluurrDRDLuuuRDDldddrruLdlUUUruulDrdDlddLruuruulllddRRddlUruUruulDllddRddrrruLdlluuluurrrdDuulllddrRUruLddlluuuRldddrruuLulDrrruLdddlddrUdrruLUddlluRUrUdlddrUluUrULdddrUluuL
47,Darcy Bursnell,SokHard,Lee J Haywood,false,0,
48,Erin Bursnell,SokHard,Lee J Haywood,false,0,
49,Ivy,SokHard,Lee J Haywood,false,0,
50,Kaylynn,SokHard,Lee J Haywood,false,0,
51,loom1,Holland,Unknown,true,40,urRRUrRdLLLdlluRuRRllddrUrrruuullDDuurrdddlLrrrruLdlllLruuurrdDuullddRdlldlluRuRRdLrrRlluuurrdDLdlluluRddrruLLrrruullDurrddrrddlUruuLrddlUlldlluururrDulldlddrrRllluRdldlluRdrUruullDRddlluR
52,Level 2,Sasquatch VI,Unknown,true,23,ululluurrDulldddrrrrrruruulllDurrrddldllllluluurrdDldRdrruLLrrrruruullldDuurrrddldlLuuurrDulldLrurrdLLddrrUruLLulDrrddlldlluulldRuluurrDRRDuurrdLulD
53,Level 4,Sasquatch VI,Unknown,true,14,dlUllLdlUrrrrruulDrddldlULuluurDRDulldlluRdddrUrRuulDrdL
54,Level 1,Sasquatch V,Unknown,true,39,rdLuuuuulldRurDDDDlluRdrUUUdddrddlUruLuuuruLdlluurDldRurDDDDrruLdlUUUruLddddrddlUruulllddRRdrUruullDRlLdRuuuulluurDldRurDDDrdLddrU
55,Level 12,Sasquatch V,Unknown,true,27,rrdLddDuuuullDurrddddrddlLrruullDuruuuulldRlDRDrdDlUdlluRUUdddrruuLrddlluUddrrrddlUruulullddlddrUluururrdrddlLrruulDuulldRuuuulldRurDDDrDuluuurrdL
56,Impossible Way,GrigrSpecial,"YASGen, Brian Damgaard and GRIGoRusha",false,0,
57,Wanderer,GrigrSpecial,Dries De Clercq and GRIGoRusha,true,95,lDuuuRddldlluRdrUrurrDLdLLuRllldRurrdrUllldRuruulDrdrruuLrddllLurRdlldlluRRurrddLLrrurrdLLuuurDlddrruLullluRdlddRddlUUUdrRUdllulldRurDrrurrdLLLLuRllldRRuruulDrdLrRdrruLLruuLDllddRddlUUrRUruulDlDuluRddDlUrurrdrdLLUlldlluRRRuulDrdRdrruLuLrddlUlLdlluRRRRdLLddrUUlulldRurDrruLLuurDlddrrrruLuuLrdddllluurRurDlllddrrUdlluurRddlddlUUrruulDDrrruLdlluururDllddlddrU
58,Unfinished Rain,GrigrSpecial,Dries De Clercq and GRIGoRusha,true,68,UdlLuluRdddlUUruUruulDDDDlddrUrruruuuLLdldDldRuuururrdLrddlULrruullDlDDuururrddlUlldRldlddrUluluRRurrrddldLLdlUUdrrruruullldDldRuuuruulDDrrruLdrddlUUllDDuRldlluRRdlddrUluururrrddldLLdlUUdrrruruullldDuurrrddlUddlLrruuruLdddlluuRldlluRRdddlUruulldRdrrruruulDLLuRdlDuuuurDlddrrruuLLDldRuuulDrddldlluR
59,Unfinished Cell,GrigrSpecial,Dries De Clercq and GRIGoRusha,true,80,lDllddrRRUdllluurrDullddddrUluuurrdLulDDDrUUrrdLurrrdLLulllddrdrrUUruLLuurDldRdddlluluuuRldRlddrUUdddrruuLrddlluluurDrrddlldlUUdrrruullDldRuuulDrrruLruulDrddllluuRDuRDrdrruLLLulldRldDrURRllluurrDullddrUrrdLurrrdLLuluurDldlluRdrRlllddrddlUruUddlUruUrrdddLruuullddlddrUrruuulllDurrrdddllUdrruuullldDuurrrdrruLLdddlluluurDRRddllUdrruuuLruulDDrdddlluluuuRldddrddlUrrruuulLDDuurrdLuruulDrdrrdL
60,Abstract,Holland,D Holland,true,14,LUUluurrrddLrrddLddllUUddrruuruuluulllddlddRddrrruuruullLrULrruulDrddrddlddlluRdrU
61,moebius1,Holland,Unknown,true,22,RRurDlddDurrdLdLUUllDurrUdlldRurrddldlUURllldRRuruuUllDDRddlluRuuurrruulD
62,shuffle1,Holland,Unknown,true,15,uuLUlUlldDrddlluluuRlddrdrruulUdrUrrdLurUddrddlUUluurDuruullDurDlD
63,Level 20,Sasquatch,Unknown,true,28,ulldddrRRRuuuRUruulDDDDlddlllluuurrRllldddrrrruurrUdllddlllluuurrdDRluullddRdRluRdRluuRRlullldRRurRdRluRllldRRllddrUluR
64,Level 7,Sasquatch VII,Unknown,true,18,ulllUUrDuurrdDLddlluRdrrUdlluluururrdrdLuulldDullldRurrurrddddllluUluRdddrrruuuullulDrrrddddllluurUdlluRdddrrruuLDrdL
65,Level 12,Sasquatch VII,Unknown,true,22,ldlLrrurrdddlddlllluurrUdllddrrrruuruuLrddlUUddddlllluurruRRllLrrruruulldDrddddlllluuruuRddllddrrrruuuLrdddlllluuluuRRlldRurDldddrrrruuulLrruruulldDrddddlllluuuurRllddddrrrruuuLruruulDlDurD
66,Level 14,Sasquatch,Unknown,true,15,uuullddRllddrrUdlluuururrdLulDldddrruUddlluuururrrrddDLLrruuulllldldddrrUrrrrrddllUUllldlluuururrdRullldRlldddrruUddlluuR
67,Level 5,Sasquatch IV,Unknown,true,19,UUrUdllUdrruLdrrruLdlluUUllDRurDDDllURdrrruuuLrdLDrdL
68,Level 3,Sasquatch VI,Unknown,true,14,ulullllldlddrdrrrUdllluluururrddDrUluulldRllddrRUrrdLrddlUruRdlllluluururrrDDuurrdLulllldlddrdrrrruUddlllluluururrrrrdrddL
69,Red star #104,Grigr2002,GRIGoRusha,true,67,lUdrrDlLrrrrddllUdrruulLullulluurrDRRDDllUdrrDrrddllUUUllulluurrrdrDrDLdddrruuLrddlluUruulululllddrrddRRUdddrruuLulDllddlluuRRuulluurrDDurrDulldDuurrdrruLdddlUruuLLulllddrrdRRdrUlllulluurrrdrDululllddrrdrRllDurrdrrddllUUUlldRlllddrrUdlluurRuulluurrDDDDlUrrrDLuluurrDurrdLulllddrdrrUdrddllUdrruuluUruLLLulDDuullddRddRllddrrU
70,Level 2,Sasquatch,Unknown,true,16,ruruulDlDlDlDlddrruLuurDrUrUdlluRuRlddrUdldllddrUluurrdLuurrrUdlluRddlllD
71,Level 9,Sasquatch,Unknown,true,40,dlddLLrruuLLrrddllUdrruuruuullllldRRRRurrddldlddllulUUddrdrruururuulllllldRdddrdrruulLdlUrrrruruullllldRurrrrddldllllUddrddlUruurrruruulllldRurrrddldlllluUddrddlUUrrrruruullldllluRdrrurrrddldllllUdrrrruruullldlLddrrrdLulluuuRdlddddrUruLdlUUUruRdllddrrrruruulDLLulLdddrrrrUruulLrrdLulL
72,Level 3,Sasquatch IV,Unknown,true,35,ldDDldRuuuurrdrdLurrrdLullullddddRRRdrUUdlllluuuurrdrrruullDlllddddrrrruUruuulldlddLruururrdddlddlllluUrrRluurDRlldllddrrrruUrULLulllDDDldRRRRdrUUUruLdddlllluurrRlllddrrrruUlllluurrrurrD
73,Level 4,Sasquatch VII,Unknown,true,14,uulLrdrddrruuLUluurrdLdllluulldddrRurrruulDrdLrdrddlluUddldlluRUURllluuurrdDuulldddrR
74,Level 13,Sasquatch V,Unknown,true,20,ruRddrRllulldddrrUUrrdLulUluurDldldRRllddrrUrruuuLrdrruLLdddrUluurruullDDDurrdLddllldlluuuruurRlldddlddrrurrruuuruullD
75,Colobok #103,Grigr2002,GRIGoRusha,false,0,
76,Level 21,Sasquatch,Unknown,true,36,luulLLddLLdlluuRRllLrrrdLrrruurrrddlLLLLuuRlddrruLulDrdrrrruulDrdLLLulllllLrrrrrrdrruulLdllllllulldRddrRRllluuRRRRRlllllddrUluRRRRlllddrrUdlluurR
77,Level 2,Sasquatch IV,Unknown,true,32,luuuuRRRlllddRRlluurrrRllllddrrRdrruuUdddllullDuluurDurrrrdddllulLdlUruurrruurDDllllddrrdrruLLLLuurrrrDulllldddlddrUUUrrrRuullllDulldRDRRRllluurDldRddlU
78,Level 4,Sasquatch IV,Unknown,true,27,ldlUdrddlULrruulDurrrdLuuruululllddRluurrrdDDrddlLrruuuululllddrRlluurrrdrddddllulUdrdrruuuululllddRddrdddlluRdrUUrruuuululllddrddDrddlluRdllluRdrruurrruulUdrddlUdlluuuRUdldddrruruuuLrdLrdddlllddlluRdrrUdlluR
79,Level 3,Sasquatch V,Unknown,true,39,LLUUddrruLdlUrUULLLrrrddlUruLLuuurrdDuullddlllddrdrdRdrUruululuuurrddDllulllddrdrdrrUdllululuurrrdrrDullulllddrUddrdrruUruuuulldddLuruurrdddLdddllululuuRRllddrdrdrruuuLUdrdddrruLdlUdlluluUddrdrruruullLrrrdddlllululuuRDrruLdrrrddlUruLruuullDurrdddlL
80,Level 34,Sasquatch II,Unknown,true,22,rRRlllldRulLLdRldlluuRRdrRlluRdrUrrrruLdlllllluurrDDrrrrururrddLruulldldllllldRurrrrururrddlLLLLrrrrddllUdrruulL
81,Level 6,Sasquatch VI,Unknown,true,34,uLLuulldDLrRlldlLrrurrRllldllUlldRRuRRRuulllDurrrrrddRluullddllLuurrrrrddLLLrrrrddllUdrruuluullddldRuuurrddLLrrrddllUdrruulLdlUrruullllldddRRRurrrdrruLdldllUluRdlllluuurrrDullldddlluR
82,Level 1,Sasquatch III,Unknown,true,42,rdddddDlLddrrUUlldlluRdrdrruuUUruuluulluRdrddrddlddddlluluuuuurUdldddddrdrruulLrruuruulDDDuuuuululldRddldddDrddrruruLuuuuuuruLLrdddddddddlluuluuuuruuRurDllluRdrrDDuullddlddrUUddlddrddrruuuuruuluulluRdrddrddlddddlluuluuuurUdddlddrddrruuuuruuluululldRddddlddrddrruuuuruuluuruLLrdddrddlddddlluuluuuuruuRlddddlddrdRlulldRRuluuuuruururrdLddrddlddLLdlluRuuuuruuRurDllluRdddddldddrdrrU
83,Level 10,Sasquatch IV,Unknown,true,27,dlUUlllddrURlluurDldRuuluururuuLDuullddRDDDDrddlUUdrrrruulDrdLLLrrrddlULululUUUdddDrrdrruulDrdL
84,Rogalik #134,Grigr2002,GRIGoRusha,false,0,
85,Mekom #135,Grigr2002,GRIGoRusha,true,115,ruLLuuLrddLLdlluRRRRuulLrrddRlllluUUluurDDDDuuurRllddrrrddrdrruLuuLLddRluuLLrrddlldlluRuUUluurDDurrDulldDrRRddrdrruLuuLLLrddRluuluuRRRlllddrddrdrUlluuluurrrurrdLLLLLddrrrrUdlllddrrUdlluuluurrrurrdLddLddlluuluurrRurDllllddrddlLdlluRUdRluUUdddrRRllluuuluurDDuRldDDuuurRRRRurrdLLLLLddrddRluuluuLrddrddrdrruLuurUdlLLddRdrUUdlllldlluRuuuluurDrrrrrurrdLddLddlllLrrrruuLrddlllldlluRRRRRdrUUdllllluuUluurDDDDuuurrrrRurrdLddLddlllldlluRRRRRdrUUdllllluuuurrrrRurDD
86,Suriken #138,Grigr2002,GRIGoRusha,false,0,
87,Level 8,Sasquatch VI,Unknown,true,20,rrrrddddlLrruuuullllllllddddrRRurDululDrrruLddlddrruUlDurrrruuuullllllllddddrRurrurrDulldlldlluuuurrrrDullllddddrrurrdrUllldlluuuurrrrrrrrddddlLullddldlUrruulDurrrdrruuuullllllllddddrRurrddrdrUlluurDullldlluuuurrrrdDuurrrrddddlL
88,Level 1,Sasquatch II,Unknown,true,41,lllldRullldRRuluuuuulldRurDDDDDrrrruulluuLLulldRurDrrddrruuLLddrrddllllldddrrrruUddlllluuurrrRdrUUdllldRurruUddllllldddrrrruUlullldRurrdrruLruulluuLrddrrdddlddlllluurRRlllddrrrruUruuulluulLDDDuuuulldRurDrrddrrdddllllluRdrrrruuulluurrDDDuuullllDDD
89,Level 2,Sasquatch II,Unknown,false,0,
90,Level 12,Sasquatch II,Unknown,true,16,lUdrdLddrdrruUrruululululDrrdrdrddllddlluRurrruulululululldDllddrRDrrurUdldllulluurruurrddRulLrdrddldlddrUlululUddrrdrrrrruululldDuurrdLrD
91,Level 16,Sasquatch III,Unknown,false,0,
92,Screen 38,XSokoban,Unknown,true,81,dlLLLDDrddrddLruuuulluurrrrDullllddrdrrrdDuullullulluRdrdrddldlluuUdddrddlUUrrururrrddrdLuuulldlldllUdrrurrddlLuuruululuRRRllddrddldllddrUruuruuluurrRlllddrddlddlluRdrrruuurrdddLLuuuulluurrrdrDDlldddLruuurrDDuulldddlLrruullUdrrddllUllddrUluuURRlldddrrrruuurrddrdLLLuuurruuluurDllllllldRurrrrrrDDDDulldlUrrrdDrdLuuulllllldddrruUddlluuurRdrrddLLuuullddRluurrdrrurrdddLLuulluRlllddddrUrUUddlluuurRdrrddLLuuullddRluurrdrrddllUdrrrruuuuuulllldDuurrrdrdddddllllullddrUrrrrruuuuuullllddRDuluurrrdrdddddlllllluuurRuuulldRurrrrdrdddddlllllluuuUddddrruURlddrrrruuuuuullllllldRurrDullddddddrruurUdlddlluuurRlluuurrdDuulldddddRluuuuRurDlldddddrrU
93,Level 2,Sasquatch III,Unknown,false,0,
94,Level 8,Sasquatch III,Unknown,false,0,
95,Screen 6,XSokoban,Unknown,false,0,
96,Level 14,Sasquatch III,Unknown,false,0,
97,Screen 2,XSokoban,Unknown,false,0,
98,Level 41,Sasquatch II,Unknown,false,0,
99,Screen 7,XSokoban,Unknown,false,0,
100,Screen 51,XSokoban,Unknown,false,0,
